new_ID,EWRB_ID,data_year,Postal_Code,Table Names,City,PrimaryPropertyType,PropertyType_selected,LargestPropertyType,Weather-normalized Site Electricity Intensity (GJ/m2),Weather-normalized Site Electricity Intensity (kWh/ft2),Weather-normalized Site Natural Gas Intensity (GJ/m2),Weather-normalized Site Natural Gas Intensity (m3/m2),Weather-normalized Site Natural Gas Intensity (m3/ft2),All Water Use Intensity (m3/m2),All Water Use Intensity (m3/ft2),Indoor Water Use Intensity (m3/m2),Indoor Water Use Intensity (m3/ft2),Site Energy Use Intensity (GJ/m2),Site Energy Use Intensity (ekWh/ft2),Source Energy Use Intensity (GJ/m2),Source Energy Use Intensity (ekWh/ft2),Weather-normalized Site Energy Use Intensity (GJ/m2),Weather-normalized Site Energy Use Intensity (ekWh/ft2),Weather-normalized Source Energy Use Intensity (GJ/m2),Weather-normalized Source Energy Use Intensity (ekWh/ft2),GHG Emissions Intensity (kgCO2e/m2),GHG Emissions Intensity (kgCO2e/ft2),Energy_Star_Score,Data_Quality_Check,Data_Quality_Date,Third_Party_Cert,ENERGY STAR Certification - Year(s) Certified
107540_2018,107540,2018,M2J,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Office,Office,Office,0.23637744,6.1,0.454154688,12.175728901,1.127465127,0.794957982,0.073880853,,,1.208237472,31.18,1.987508016,51.29,1.2117250079999999,31.27,1.9909955519999998,51.380000000000003,29.0628,2.7,65,Yes,2019-05-17,Not Available,Not Available
112312_2018,112312,2018,L4W,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Mississauga,Office,Office,Office,0.153451584,3.96,0.227077344,6.087864450,0.563732564,0.357751465,0.033248277,,,0.799420752,20.63,1.316351088,33.97,0.7905081599999999,20.399999999999999,1.2958133759999999,33.439999999999998,19.3752,1.8,,Yes,2019-05-17,Not Available,Not Available
115038_2018,115038,2018,L9T,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Milton,Other,Other,Other,0.102301056,2.64,0.227077344,6.087864450,0.563732564,0.127128083,0.011814878,,,0.591718608,15.27,0.927684576,23.94,0.58939358399999997,15.210000000000001,0.92574705599999996,23.890000000000001,16.146,1.5,,Yes,2019-05-18,Not Available,Not Available
127854_2018,127854,2018,L5A,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Mississauga,Multifamily Housing,Multifamily Housing,Multifamily Housing,0.089900928,2.32,0.681232032,18.263593351,1.691197691,2.632203262,0.244628556,,,0.984647664,25.41,1.295813376,33.44,0.96643497599999995,24.940000000000001,1.2652005599999998,32.649999999999999,36.5976,3.4,,Yes,2019-05-18,Not Available,Not Available
100407_2018,100407,2018,K1P,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Ottawa,Office,Office,Office,0.365803776,9.44,0.454154688,12.175728901,1.127465127,0.540294354,0.050213230,,,1.688742432,43.58,2.890392336,74.59,1.6682047199999996,43.049999999999997,2.8686921120000002,74.030000000000001,35.5212,3.3,10,Yes,2019-05-22,Not Available,Not Available
100466_2018,100466,2018,K2P,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Ottawa,Office,Office,Office,0.174764304,4.51,0.56769336,15.219661126,1.409331409,0.601006163,0.055855591,,,1.142361792,29.48,1.72051776,44.4,1.1493368639999999,29.66,1.7274928319999998,44.579999999999998,33.3684,3.1,57,Yes,2019-05-22,Not Available,Not Available
101826_2018,101826,2018,K1B,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Ottawa,Office,Office,Office,0.288302976,7.44,0,0,0,0.458801993,0.042639590,,,0.960622416,24.79,1.882881936,48.59,0.98464766399999992,25.41,1.9293824159999997,49.789999999999999,10.764,1,43,Yes,2019-05-22,Not Available,Not Available
104972_2018,104972,2018,M4W,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Office,Office,Office,0.214677216,5.54,0.794770704,21.307525576,1.973063973,1.364997047,0.126858462,,,1.576366272,40.68,2.29983624,59.35,1.5682286879999998,40.469999999999999,2.279298528,58.82,49.5144,4.6,28,Yes,2019-05-22,Not Available,Not Available
105634_2018,105634,2018,M5S,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Office,Office,Office,0.173601792,4.48,0.454154688,12.175728901,1.127465127,0.874413034,0.081265152,,,1.052848368,27.17,1.63332936,42.15,1.051685856,27.140000000000001,1.6263542879999999,41.969999999999999,29.0628,2.7,68,Yes,2019-05-22,Not Available,Not Available
106266_2018,106266,2018,M4H,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Enclosed Mall,Enclosed Mall,Enclosed Mall,0.212352192,5.48,0.681232032,18.263593351,1.691197691,0.790068440,0.073426435,,,1.432214784,36.96,2.13514704,55.1,1.4174896319999999,36.579999999999998,2.1180968639999995,54.659999999999997,43.056,4,,Yes,2019-05-22,Not Available,Not Available
